idx,ts,load1,load2,load3,temp1,temp2,temp3,motorI,motorU,motorP,motorRPM,throttle,gyroX,gyroY,gyroZ,tag
0,2657678,32,-54,70,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
1,2657689,32,-54,70,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
2,2657700,32,-54,-122,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
3,2657711,32,-54,-122,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
4,2657722,32,-54,-122,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
5,2657733,32,-54,-122,0.00,0.00,0.00,0.01,4.43,0.00,0,750,0,0,0,idle
6,2657744,32,25,-122,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
7,2657755,32,25,-122,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
8,2657766,39,25,-122,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
9,2657777,39,25,-122,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
10,2657788,39,25,-122,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
11,2657799,39,25,-192,0.00,0.00,0.00,0.01,4.43,0.00,0,750,0,0,0,idle
12,2657810,39,25,-192,0.00,0.00,0.00,0.01,4.43,0.00,0,750,0,0,0,idle
13,2657821,39,25,-192,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
14,2657832,39,25,-192,0.00,0.00,0.00,0.01,4.43,0.00,0,750,0,0,0,idle
15,2657843,39,19,-192,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
16,2657854,39,19,-192,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
17,2657865,-3,19,-192,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
18,2657876,-3,19,-192,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
19,2657887,-3,19,-192,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
20,2657898,-3,19,-156,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
21,2657909,-3,19,-156,0.00,0.00,0.00,0.01,4.42,0.00,0,750,0,0,0,idle
